,Image,Accuracy,Precision,Recall,F1 Score,Specificity
0,10,0.9270888888888889,0.3230435959924181,0.6043566362715299,0.4210340568201871,0.9418955980105053
1,11,0.9254444444444444,0.30372087034891204,0.6443594646271511,0.4128456422821141,0.9373631846558333
2,12,0.9437888888888889,0.6099163046932938,0.8069806560134567,0.6947444638870452,0.9555668187193783
3,13,0.9525444444444444,0.44888297085367657,0.8474860335195531,0.5869039558951542,0.9568965517241379
4,14,0.9493777777777778,0.6483050847457628,0.6408625504188644,0.6445623342175067,0.9731790219498767
5,15,0.9558111111111111,0.5310208685843204,0.8526148969889065,0.6544443479016421,0.961137141722071
6,16,0.9473555555555555,0.5138675793697628,0.8755278503921174,0.6476275472259408,0.9515565643854305
7,17,0.9344222222222223,0.3747450980392157,0.5549361207897793,0.44737827715355805,0.9534862010619056
8,18,0.9303777777777777,0.37819548872180453,0.5413258717176065,0.4452903682719547,0.9515547015957073
9,19,0.9721777777777778,0.7183652082787529,0.6573963078398466,0.686529794692038,0.9874750958300808
10,1,0.9509777777777778,0.4481682273698045,0.7215022480825178,0.5528982569922983,0.9610410698337953
11,20,0.9520888888888889,0.6117938766709788,0.8886626996554964,0.7246839484101647,0.95693304948932
12,2,0.9463555555555555,0.4605227334603866,0.7963747645951036,0.5835777126099707,0.9537853344528407
13,3,0.9604,0.5170320404721753,0.8141263940520446,0.6324257425742573,0.9667880418396456
14,4,0.9594222222222222,0.5457617572514785,0.48730198642192607,0.5148777895855473,0.9812492007951362
15,5,0.9355777777777777,0.3206881963051756,0.6986175115207374,0.439590179779625,0.9444694218686956
16,6,0.9335555555555556,0.32562047569803515,0.767519804996953,0.4572517698311853,0.9398394796927974
17,7,0.9594444444444444,0.5701943844492441,0.7151241534988714,0.6344882835970358,0.9720930232558139
18,8,0.9433777777777778,0.40331968096572535,0.4455822814955942,0.4233989590405069,0.9677393037377187
19,9,0.9374777777777777,0.43794579172610554,0.8038402792930395,0.5669873028087725,0.9446480208857722
